img1_idx,img2_idx,sum
56834,29425,3
41909,36825,9
26618,15292,7
14270,47009,17
47949,27643,7
5419,25560,11
53781,9753,7
59381,13117,9
58349,17530,15
8450,35363,7
58552,36856,15
45427,59148,8
55319,24487,3
14546,43093,13
53960,15439,4
59216,35686,9
22207,19978,8
5076,59314,11
38090,22002,8
33145,1877,3
18576,53802,11
22252,16532,4
11175,39686,12
37458,22088,17
42761,14614,13
41600,44318,7
15124,59308,12
14187,41981,8
14567,15703,7
12173,28148,13
49171,2684,2
45476,45711,5
40579,3182,12
28853,30345,15
4353,18249,10
13724,57205,7
28961,58079,4
29743,54546,18
53589,13660,10
17269,22228,9
59632,46402,10
49293,43863,15
38271,33248,12
32180,51486,9
58186,52140,12
21835,18707,10
12706,20712,9
36813,52196,9
42349,16962,7
17125,28994,6
37383,19052,11
9604,59181,8
24975,28167,8
13292,5219,16
42902,42124,12
44452,1957,12
28859,32894,8
46652,41500,9
58643,33497,14
28709,19929,10
4321,50966,2
43598,44964,12
14773,11105,0
33875,57864,6
23154,31408,7
31018,34454,16
55518,53323,9
13005,19846,5
7121,21262,12
2383,37612,15
59182,6138,9
15181,1544,4
39199,37516,13
44846,3944,5
4367,45605,15
20320,48713,15
5117,18599,4
48743,7617,16
22678,28701,11
41335,21098,5
12820,5887,9
58213,11405,10
30887,48076,12
23959,5380,8
13808,18336,6
47359,11105,8
5179,30370,6
24752,4912,11
36206,7227,7
47417,42590,12
13000,26058,7
24390,34160,9
54310,33782,7
22467,54691,14
24818,55200,16
22974,8358,13
38687,45442,3
6416,22185,6
13254,14745,9
59530,47474,7
40196,23591,9
22174,40422,14
56552,59587,8
28114,15538,14
49230,54226,11
54138,44993,11
59280,14855,11
32035,56822,9
49754,14514,7
14679,51718,13
6777,49207,10
11322,47201,16
22856,10962,4
48719,8445,1
52526,31551,9
47846,11544,8
33458,13737,7
59841,26538,11
11507,53444,5
16237,43084,7
41187,30901,1
20671,43724,10
34941,614,12
23922,44416,9
8439,20787,10
35076,49069,9
29608,37998,9
20862,13957,5
21030,17093,12
35152,56259,4
23136,2689,4
5332,16479,5
23228,40673,14
16723,36544,9
16828,10496,15
55677,17092,12
30583,8876,14
31210,9873,15
48804,20658,9
24658,56469,8
33756,12291,13
55253,1587,5
46750,47291,7
52437,49405,10
56473,45544,2
18786,59829,18
7690,35872,11
16800,18417,12
9979,32591,10
47634,30156,8
26504,42884,11
1373,52418,5
56280,7108,13
8082,4124,11
18852,41152,6
49283,44640,8
9460,44872,6
39319,53721,17
41821,58426,11
44137,1660,6
57242,31741,11
37843,5312,8
17202,2256,6
9091,28361,5
19849,30440,11
35442,32322,9
14499,29815,13
15957,17602,14
38048,7312,18
20480,14374,12
11439,34828,4
613,25119,12
45331,17878,9
17729,50900,10
4108,41792,9
21561,21383,12
18918,32004,8
52276,38327,6
6656,7249,9
48621,23401,2
36323,6407,13
23132,41648,5
25675,17815,6
6145,29074,9
56658,47080,13
48922,19893,10
33006,3347,9
36948,2701,7
15989,22775,7
26275,27482,14
29321,54699,10
45792,44916,7
33041,6679,18
18955,9009,8
58520,8636,13
50552,44063,8
47136,45916,12
25463,48253,10
20877,59830,7
45525,28256,12
10170,23009,7
24156,45749,13
35643,21667,9
29040,44626,8
51806,4817,13
16180,20184,13
26935,7505,17
3018,52598,10
31997,26783,10
57902,6373,11
1104,51472,14
52932,25993,11
15037,56599,16
41857,38209,4
55208,19024,14
45872,33678,13
21124,18294,9
14620,18075,5
34236,38504,15
27171,35756,3
25798,7616,13
3553,23323,4
45277,52679,4
18772,13256,11
40882,35349,11
59446,35886,11
18617,42987,12
17947,50102,12
45174,10204,9
43525,4452,15
42328,15100,6
57869,24074,14
55435,50990,9
23690,7101,13
51449,10595,12
15825,53441,7
44896,44392,14
41013,29906,10
38435,4254,9
17027,52081,9
19187,35715,16
33129,50813,9
21611,14180,9
13589,39597,2
58996,49050,12
26638,19358,10
53037,30833,6
4174,14480,12
58111,18864,8
23876,49519,10
44762,51858,16
53042,36260,3
40953,19350,16
45237,18096,7
57798,15002,1
59181,30267,14
59253,36315,3
7056,4093,18
39020,56608,2
12821,21049,5
35886,33753,13
15801,28423,7
54858,21194,5
39057,20367,7
2807,13801,10
6486,9081,15
28128,12144,4
30562,55365,16
39563,54002,9
54930,36585,11
17937,5665,8
21360,45367,7
41567,38063,9
57821,56123,6
13457,55492,12
47637,13347,9
43721,18183,11
13757,6701,10
46581,35027,12
41079,23447,13
19333,20443,4
3430,41119,2
38193,9732,11
25285,14709,5
46371,42791,3
57182,49276,13
48940,42145,16
58847,8031,12
30630,1445,7
50604,44464,12
54679,45521,16
7128,48530,9
42537,15000,6
40006,46246,12
25019,31303,15
24335,56117,6
16002,5063,15
42740,32574,1
38939,47663,6
20132,18204,8
26805,21563,13
50437,53009,7
43279,34058,10
40172,7229,12
58220,58441,10
50895,21272,6
56190,16319,11
3250,18101,11
22525,33511,9
32289,3130,8
3505,43105,9
29468,8599,2
327,21940,7
34577,26633,14
23644,35568,7
35007,4458,15
46967,25563,14
16695,37794,10
11407,49008,8
15544,8822,9
14164,25578,16
21075,17444,7
184,41660,8
56373,15056,14
3646,83,12
9065,4635,9
22613,53026,9
2925,10269,10
2071,49060,10
19279,574,8
41402,25282,8
22772,14504,18
50044,6422,8
46214,34942,11
10578,29575,6
16786,51560,13
57241,31265,1
50277,13671,14
11734,35791,14
16060,56907,10
32643,45862,10
45068,36826,13
47370,14288,7
15256,24102,8
42498,46409,9
18660,34697,14
8903,6168,3
9430,51787,3
40891,35572,9
13820,26696,3
14767,11127,5
32686,53616,14
27654,4185,11
8757,28060,10
43855,18987,6
35846,36191,10
31024,42701,3
50567,30516,12
11496,8522,12
25817,26784,7
27567,16183,2
47702,34055,8
16157,9912,7
12877,34199,4
19265,49083,7
44526,26244,15
11103,38767,18
24119,43340,10
59070,6358,10
18867,43825,13
18499,5769,9
22827,49118,6
43759,41307,7
28412,13875,1
49559,7240,2
30602,2119,13
2429,44615,9
29212,26860,16
34830,43478,13
43940,58017,7
48716,59572,2
7371,25593,6
13669,7746,9
42973,12749,8
15427,8528,4
38533,3707,8
14907,28122,5
51355,11827,14
23160,20950,5
40779,8244,10
14663,26734,14
44254,18217,15
12606,32436,12
46274,57709,11
30024,17570,15
12776,46649,8
32631,4689,15
3292,43766,14
53617,7862,8
13069,56903,5
57630,16231,12
26716,40426,10
19543,2523,6
23458,1211,9
27558,54113,7
7726,34364,7
45496,23609,14
36551,12680,2
55339,8795,7
6761,3205,9
52361,4026,10
40385,50513,11
38001,32802,11
38356,11078,11
13361,10850,13
32318,22337,2
4481,19723,14
22560,10185,6
52861,14635,10
29997,4590,11
22633,27306,12
2852,49444,14
58021,20986,11
54440,50321,7
27451,43196,5
50439,10807,12
22310,46795,9
58769,52174,1
22384,46089,7
4455,31116,0
13419,22106,5
45745,45981,6
5886,58797,4
6064,6614,7
32865,5741,11
59721,28836,3
24413,11864,14
31840,14988,18
3340,9401,7
56723,55886,9
55070,13439,11
9674,24087,5
35809,10514,10
46229,58679,14
21693,13159,9
29080,9367,6
46518,23854,2
45346,43425,11
23275,13534,16
42534,32973,5
1704,17925,5
5465,53187,8
59396,9930,3
52738,8328,7
22398,56192,2
34859,13043,8
15197,52190,10
36711,20398,8
34552,53293,3
2337,3940,9
56666,39278,11
59174,17204,15
55085,38283,7
11327,54856,9
500,47688,5
49364,2387,13
7450,50131,11
51244,30991,13
52137,2395,12
21797,28237,8
17790,31997,10
20545,13034,17
17150,24586,14
1755,1539,4
6812,15126,9
56979,23546,10
31173,24568,7
59769,15296,5
35372,47946,10
11388,24805,11
38768,33962,12
136,34628,9
16456,40628,11
35564,31797,12
119,1386,0
20214,1876,7
22795,3978,13
29875,7976,6
13161,4010,4
30409,17879,5
33028,42220,6
10018,19813,8
12094,29003,12
41574,24575,7
22045,27074,10
16075,20209,8
660,46463,8
23496,45566,11
31553,19162,12
57856,5947,8
43136,43797,9
48252,25968,12
54184,4382,9
10358,46871,8
1879,51751,3
55267,28815,2
21869,52041,12
38960,29385,8
23544,32851,9
15129,27009,13
32181,4439,12
48141,58007,12
27600,33373,4
50531,34473,9
32080,47923,5
26378,39939,5
8284,38603,4
14488,1993,8
19541,38397,16
38156,25037,12
40858,17124,3
43790,8979,1
10779,27390,9
13194,11838,16
35037,21761,13
55839,42642,14
44898,34661,9
2397,17766,9
26745,11273,9
52256,57859,9
20172,4089,5
44699,49052,16
36881,36101,12
3755,47051,9
40962,48993,4
32999,46164,10
1876,39251,6
35552,48984,5
12170,25763,14
28781,46460,11
20766,57967,10
27154,58046,13
35851,58644,8
6743,45930,9
59940,16624,8
55602,16275,13
3479,15182,1
29979,11062,14
43993,29776,14
42348,7732,3
6818,19263,10
5317,4783,3
23335,2710,8
39364,2714,3
7435,24870,4
15436,21263,12
39239,56117,5
26314,56907,17
52883,2820,12
17726,29467,4
32895,11636,4
43782,19572,10
52093,20226,16
28004,38643,13
22473,49890,5
37143,39524,9
40201,38102,1
51697,41496,13
16853,42693,11
37826,36163,4
35531,36620,3
43645,22935,12
15317,36292,8
29874,24911,18
23925,25240,10
1789,727,16
4606,55244,16
8008,39662,16
55609,21357,2
27710,30855,15
33250,59507,7
17822,26255,11
28936,10369,6
7011,28580,7
17584,32996,10
23630,48877,7
22711,38922,11
39307,36378,17
25556,42234,14
13275,33981,11
23421,37352,15
25708,46078,10
617,36403,13
23431,5171,11
46452,21022,5
15171,30594,11
47298,45401,8
19615,12348,10
57998,16506,7
23739,2483,0
31481,52784,8
32670,9616,7
16831,26255,10
57714,29724,10
29448,46617,1
39477,3464,8
47428,24013,6
46093,22740,8
50028,13377,2
14082,55300,11
15522,36019,8
13672,30599,16
56088,4160,3
11490,47885,15
37168,46115,9
8998,12902,15
23300,6208,9
28644,30539,14
21675,51155,10
18208,20635,5
41809,43859,8
9549,18474,8
14956,16536,10
38258,41465,6
8868,54876,7
19218,24889,14
22122,50618,9
13609,45041,2
34570,7698,7
1272,6900,10
41465,40017,7
172,44694,13
56081,34928,3
59916,39189,11
14314,41941,8
12411,58502,8
47320,42169,12
19112,11382,12
51033,22893,9
1900,23254,3
10785,2899,2
52067,52918,14
30968,22065,7
4917,47239,9
57059,6709,5
55809,36350,11
48370,33442,6
455,54636,9
43906,43714,5
20115,7391,9
52815,9608,12
56553,33769,3
40635,3290,5
14614,52807,9
16720,39522,5
5328,36194,12
31520,32066,14
41394,25964,15
4271,24364,10
37941,19001,7
12373,15767,12
19255,8411,11
15503,18728,18
48153,36736,11
11305,26253,11
58520,11321,10
7619,55725,8
6984,28861,8
58204,13485,15
38032,19881,12
23560,47534,10
32587,12825,15
27186,28179,9
31038,23576,2
14285,47663,10
23104,34845,3
34881,13071,11
13262,28757,8
19168,39198,3
50717,442,7
17822,32882,13
25436,32263,3
22945,3416,7
2602,12734,7
20254,37752,9
59201,34161,12
49948,28314,10
26108,42199,12
57308,38923,10
5436,27631,2
7119,15261,4
42672,57448,9
31473,45833,5
12269,26539,6
33286,46549,12
41222,12626,6
31686,34558,8
7913,17359,14
16856,8314,10
29457,48753,13
5436,3850,3
45803,24391,5
39598,34137,14
20478,12543,4
31686,23083,10
46864,17243,9
3189,6686,14
46632,14854,11
58492,54155,7
51236,35133,12
21862,16245,12
24952,58085,5
19908,51989,5
41564,14347,14
18228,38479,15
6512,59446,13
35083,47961,12
31396,6268,11
44373,52566,7
28012,28541,14
23239,2492,10
47026,47144,14
4845,12386,10
18495,8264,8
17627,8646,6
48228,6744,15
22346,29443,14
1761,22429,6
2653,59763,15
5437,21165,16
12976,21009,6
44996,25977,7
12103,39841,8
22519,19985,7
413,12987,5
39747,55816,8
5293,46331,9
14172,44174,9
52292,30225,9
29299,7130,8
21027,41122,5
41443,57633,2
9181,26462,10
37963,45581,13
37709,34538,8
57921,7687,7
46886,27088,8
6370,54209,5
26771,44759,13
9576,1928,10
5589,49173,15
23754,37233,9
5433,6449,7
26811,24824,8
30421,26191,6
5536,53564,12
28263,36022,3
50254,15585,9
3711,369,12
41551,18933,15
48259,49990,15
36295,24681,3
15563,20160,6
17444,14419,4
10899,7478,13
17515,10878,9
18081,29215,5
22308,35154,14
49281,43412,5
10177,6015,11
51274,23075,9
33448,43251,11
13909,37892,9
33041,38285,14
6113,59161,6
28306,46301,17
41265,1881,2
41151,32718,8
49995,4730,9
55662,14493,11
28948,8791,11
19521,54032,10
586,34814,15
36028,55623,13
20512,10323,6
29040,40352,2
21800,14662,9
25489,9742,6
52706,22069,8
21892,56052,16
22950,42270,7
54184,12547,11
48212,27847,5
12388,31155,4
7260,13048,12
15403,51293,8
9818,55672,11
40829,35664,6
35042,18512,12
8052,469,11
19839,48887,7
20363,7035,16
27881,59667,9
24181,27774,16
4341,9429,9
48917,54584,12
29317,54539,12
39820,13889,3
38221,49293,8
11282,7996,7
23504,31488,3
371,55073,11
33960,30956,12
32722,40049,10
17533,22088,16
11645,59408,6
53133,22691,8
43508,5,7
49857,36854,10
31061,7880,7
2705,56210,9
3276,15374,12
50516,16345,4
18703,37709,8
50437,56115,7
54004,35868,6
55479,34143,3
14809,1411,6
3077,18073,2
45488,46927,10
48576,56876,7
39110,3588,13
50860,8450,11
14198,31983,11
521,0,12
26595,12868,11
4055,49632,9
27313,10738,11
40628,53224,11
54787,15680,10
54813,6293,7
11957,50747,9
26935,18262,14
41784,11091,1
14205,29555,8
21256,46674,3
47538,23072,14
14693,12763,4
59937,7883,11
22834,17182,10
31405,23404,10
53829,14946,10
48346,53950,15
36153,19931,13
19054,32784,15
34166,17229,7
38223,11733,10
19534,54098,16
30857,47104,11
38857,48487,11
27313,22051,7
59225,58653,5
17868,23924,10
41640,28948,5
40435,1823,9
57191,13465,11
40694,41468,9
28894,52260,5
18485,3855,6
39962,58136,11
37555,4975,12
26387,13397,5
3648,42279,6
30843,22197,12
31616,25532,11
46898,19866,9
26699,30748,7
9311,25468,14
49999,5304,9
2851,15197,7
42858,52274,8
41,31293,16
16215,22101,10
53942,7363,6
46851,6842,16
3929,41828,6
54496,7050,6
7388,34279,11
45621,26889,15
26709,46773,16
27909,6612,12
19541,37382,8
25434,3483,10
30350,30298,10
38766,45997,0
42715,34873,12
30266,6213,7
26972,19181,8
20087,57730,6
228,20636,12
19968,14082,10
45826,53771,12
53136,1475,11
1868,3434,0
33626,20039,11
44557,43441,5
46757,54253,11
32271,21107,13
56537,47444,6
27101,39035,14
50980,22670,8
4407,9906,2
10589,19046,13
48635,25686,12
35689,2297,9
36887,48754,7
27257,11371,1
25562,33646,10
11806,57245,7
42226,47277,14
18802,53751,8
17817,9808,15
9345,49661,16
24133,21154,4
2181,9837,5
44027,42715,13
27301,38755,4
31499,34514,5
45343,16591,10
56682,52576,11
9898,20167,8
39973,3710,11
32566,20890,10
5859,32883,4
9852,13468,14
45191,5918,13
9210,20465,7
11649,14570,10
58532,50331,0
9369,5450,12
9257,14185,4
51924,14200,9
45772,32480,16
48985,42439,7
24375,43855,12
56963,20323,12
41541,44521,6
16157,50968,5
24853,55710,3
41692,6959,10
51611,18000,12
58887,2249,7
21712,28068,8
41162,17821,11
30426,11618,9
12809,14404,6
19145,56426,8
4183,21728,8
43070,6803,11
44615,55337,12
4250,58147,4
53133,31719,11
54287,53411,11
34289,51512,12
34189,35717,6
16580,1216,16
44663,7558,8
55075,4102,9
7644,26406,8
2272,39614,14
31440,29195,17
48797,24995,6
20198,885,16
46573,45239,11
58959,52783,15
41825,48353,9
9142,48092,8
18449,39690,11
6620,41591,9
41486,51048,6
34117,54303,6
45292,32666,5
42372,42123,11
20990,9658,3
13360,48923,12
19181,43821,10
44761,42849,5
45850,57635,6
35450,9453,8
40101,32647,5
31251,13067,10
1222,44205,5
10945,2487,8
16037,28889,13
25923,39622,3
35357,26298,1
51944,3339,6
19036,47462,9
35707,14715,9
19657,51166,11
13054,1989,1
58198,48461,2
50407,37806,2
58600,32430,3
41095,26691,10
7152,8015,13
37105,25424,9
12669,44381,14
13455,38677,3
27090,58013,15
26443,48728,12
54812,29370,6
9972,277,4
40641,56494,15
17471,53492,7
30618,15737,7
11033,4616,6
13601,55844,6
25671,29633,10
22055,3019,7
384,25030,13
7744,37509,12
55377,25667,12
29850,54986,15
30697,33924,6
3485,38249,14
49493,41231,16
3525,50203,9
14793,11089,13
14657,20022,6
7515,12878,1
52732,47538,15
13856,37398,12
35717,986,6
28898,12523,12
9281,11626,15
1086,11389,12
28008,17424,11
16665,54124,7
55763,36588,14
5484,26837,10
35532,6444,9
7889,38558,8
39102,55610,9
30082,30856,11
10951,22985,13
59120,19590,8
8031,8654,17
15538,43465,5
49955,50612,9
43134,50361,3
25275,51837,11
1302,47264,16
44412,49687,7
9938,13242,12
466,15300,2
2013,48655,16
40757,8374,8
21065,52374,14
3533,8075,12
1752,5268,5
6882,14631,8
13654,51141,9
44333,41007,3
14774,35788,12
5253,1228,13
53121,5047,6
39731,7188,9
25781,26745,2
55234,20377,11
31005,52259,8
50563,53636,10
16365,33539,16
37443,18727,6
43017,4513,5
2189,1655,9
38420,3251,16
37262,20962,8
16576,46838,5
18019,537,6
51559,18189,10
568,10055,11
27867,23091,15
21333,57932,10
44889,11383,11
36298,18669,12
53265,24858,9
48024,33915,5
44698,18235,2
6774,44133,10
23816,4068,12
59320,57124,11
35627,27812,12
10629,39736,8
22800,52582,4
55231,23278,12
41527,25195,15
22315,39558,7
36080,23691,11
59278,32442,9
4503,24661,9
25189,33503,2
46254,595,10
39761,55974,6
11387,57834,2
56910,38646,10
47763,15940,5
9325,33155,15
10538,23658,9
47542,21205,7
49289,16824,12
19958,31363,11
33829,52769,11
30264,50130,8
16454,23096,11
15903,1864,6
20865,965,1
2580,3264,6
10836,2530,7
49418,47275,6
33476,6160,12
28565,1557,6
6629,44180,8
55578,56808,12
20760,56443,10
39469,25601,6
17291,47347,12
32223,39168,5
269,40206,3
39210,56962,7
30608,11562,6
34763,56758,12
51885,54783,7
56884,18211,18
2110,43551,10
58597,19687,10
57160,40805,4
46771,51988,14
39428,26664,17
39317,43180,6
42041,35411,9
24588,20324,15
28991,31379,10
15776,42291,9
4972,18955,4
14016,29734,3
7337,10346,3
26815,54994,15
25360,43499,17
41851,54605,8
50832,7870,11
34293,54907,9
216,36137,8
37966,13201,7
22670,37916,8
47873,13815,12
20603,14546,10
53991,55137,8
55722,52654,6
1951,45404,10
53047,9543,14
13867,17611,7
38850,4797,8
49004,28966,12
47256,3704,14
14176,37323,4
14154,49352,6
35662,13388,7
4037,8701,13
42249,4882,10
7951,50048,9
47042,41647,0
40406,13114,10
13775,35825,10
21842,49183,12
23112,53157,12
52650,14022,12
54787,12697,13
26304,13437,16
51290,3308,2
42698,46212,7
37972,53929,7
35332,50004,15
14960,40237,6
13497,54429,5
21047,59178,12
16486,34221,12
39695,43108,8
38259,47886,14
41464,13417,11
16213,16802,9
41495,14427,9
36482,34796,6
17001,42569,11
40288,43964,6
44838,13355,7
50276,14796,15
14447,41161,10
11293,57426,12
32505,17700,11
25192,34979,13
22929,39266,8
2114,40085,9
47457,30855,15
16858,16080,3
42949,7811,11
48026,27914,4
44720,42232,5
36731,15058,5
34577,33454,14
8250,49286,3
49334,334,14
30374,19469,13
5496,30044,7
36471,17885,4
516,34615,14
34377,36276,10
56881,13452,10
26330,11460,6
15573,1659,11
5873,5862,6
12200,16289,11
51301,41559,1
10202,7259,9
17900,43890,8
16481,22327,13
58070,35012,8
14443,1562,15
51783,34666,16
12275,3995,11
45302,9142,1
20499,10929,12
35449,19305,1
32307,36598,15
46140,25231,7
56436,35089,1
12631,56875,8
19090,39348,8
40665,16269,10
42272,37374,7
46286,21425,4
16826,44685,12
56040,43219,6
28892,16681,17
49387,35020,2
19856,3955,1
4306,14710,16
38451,13652,12
54753,51107,6
13693,33790,8
5063,36879,11
39181,21996,3
11591,9243,14
7071,52045,9
58535,9732,13
9951,47623,7
35713,3976,16
38264,42249,5
13282,52803,13
7805,28809,9
53484,36090,1
32279,57746,8
18012,41364,17
37586,16129,14
41986,36104,10
12524,10700,7
20254,41983,18
54743,41434,18
27607,5402,14
44806,11548,15
40496,50422,9
8971,44492,11
1406,17760,13
58433,35332,13
57469,24891,18
28329,42380,10
9857,2401,5
13654,44698,3
51549,32475,6
6579,27890,13
38163,52927,2
29181,51641,9
13446,4050,13
27784,17798,10
25857,19887,10
25989,51366,6
59581,53870,9
30196,19262,7
6627,37022,5
13055,11051,9
23713,11756,7
14986,11047,2
23306,27149,10
56619,25599,12
55579,482,12
50759,3593,6
48320,51158,10
33812,33991,10
30709,24699,7
59277,48209,9
13960,39863,15
35908,34175,4
23812,5326,10
7267,57974,3
27142,9360,3
47503,2195,5
57071,17786,9
7781,42484,11
53002,37628,16
34613,28190,5
40292,47952,14
48758,24467,11
9401,56708,12
51516,17058,10
37028,55510,15
5480,7263,5
23142,41094,6
39831,17093,11
51574,21094,10
4893,13176,15
41015,15697,4
11044,11764,8
26913,41563,14
59711,4821,9
12005,120,8
46126,37152,11
56529,31745,8
44903,42108,8
55837,5101,4
30176,6211,3
36183,17614,8
50199,1591,15
7880,40611,6
57909,14386,10
16549,29109,10
4981,55765,0
35340,30047,3
19403,40958,9
2483,25371,9
57232,32542,12
54399,19592,11
38968,27224,6
33103,1062,12
38053,10905,11
22742,51630,4
53447,3332,6
25482,46132,15
15999,18399,6
33147,51712,13
11278,51010,2
24994,431,13
5335,24906,11
43767,49695,6
28889,18869,15
20980,26987,15
19609,41018,11
27570,25921,3
18786,55176,11
24781,32927,10
17745,56731,11
16406,31268,11
44548,21694,9
72,35956,10
9003,47901,3
53799,34766,10
8022,5532,14
55952,34917,4
5563,22844,1
27130,4452,16
44738,543,10
30640,31401,4
51696,45877,14
45038,11357,10
56830,21086,13
56514,32120,9
17548,30973,9
39067,37094,14
51247,11043,2
33559,47437,12
57250,37603,5
10378,8200,4
53239,4121,5
27390,34210,10
20750,44390,14
21606,38037,6
43211,30764,9
5439,43646,7
57212,16964,16
26137,11194,13
40796,17541,2
1083,27959,13
38563,26590,7
36254,863,8
11462,29701,3
21625,19279,8
16870,46997,10
49960,41067,9
53284,51081,6
6298,39232,4
32094,31048,5
14096,23277,5
50564,29420,4
2444,49299,12
29621,42402,0
23815,29182,10
52699,5774,14
28864,34901,15
26363,26114,11
34821,577,5
43374,50393,15
22441,7786,0
10992,28411,1
41573,56067,6
38377,55205,10
1274,55758,12
46805,10018,9
46572,19257,16
318,53441,9
55795,32068,14
46088,19667,15
14468,28349,3
1934,40984,13
27269,35596,9
56800,176,18
52708,39340,10
3715,7710,0
21945,17476,0
7861,26,7
28739,13786,15
38211,1011,2
51960,10079,8
41526,22242,5
41868,24628,6
2651,12983,8
37429,53370,13
6743,31325,11
50879,30625,4
54644,53119,8
42702,55180,8
28546,9992,7
32447,20279,2
3618,22601,7
32467,9257,8
48689,13287,8
20941,47048,12
52638,45083,9
24927,6213,12
47818,18775,11
36581,10563,6
47975,1775,3
39812,20184,13
21489,44473,6
52920,59013,12
12778,44359,9
34728,30575,8
43074,29175,2
13126,48726,8
55410,3721,7
22649,12433,12
27278,42857,12
13301,53266,10
59920,34403,3
23670,23785,10
49575,11742,0
32901,24662,9
32477,36678,15
24652,41226,8
34868,19658,12
14484,40538,8
41398,33803,6
47633,21879,16
52181,29700,15
4792,10002,10
12340,50308,9
27388,16877,10
45727,9191,12
52019,22556,10
56253,42031,14
48560,9587,13
49857,52617,2
18576,27022,9
39209,48945,10
55333,17208,12
39139,28371,12
41961,8664,2
51961,18647,3
54054,462,8
47980,2690,11
19094,42745,7
3061,8990,11
14306,5512,9
13789,55311,15
23342,52020,2
3619,4424,13
42685,52517,10
25437,1089,7
3371,46774,14
28051,37513,10
33831,1204,6
54666,824,16
23878,56905,13
963,27084,11
18957,25863,13
4785,12350,10
6123,46088,9
25,3136,8
48924,52729,13
21403,31617,2
7009,16777,4
12211,17077,6
48299,14571,1
29188,32755,7
45942,59667,2
20867,6828,8
15765,34477,7
21666,26110,16
18882,20179,7
969,55748,12
32478,36480,13
8144,7051,15
29587,17133,1
32228,12933,9
7668,16846,10
25658,31384,3
29782,30367,12
37851,34899,11
10990,7772,6
17914,12121,9
5399,4574,5
46690,8893,5
30790,18200,4
11838,4585,8
25087,39764,9
56871,38736,4
54285,25554,10
28800,9048,4
46489,23078,13
1567,276,7
56507,50256,9
40702,10339,12
38328,10734,4
39030,34415,16
33066,26397,8
12282,30469,17
4033,38712,6
45614,5587,12
51558,28770,12
32407,10477,10
48985,30630,11
45684,11584,8
9740,11709,11
2336,36393,1
26997,1585,18
7953,9117,10
27417,15498,14
19590,53516,11
29896,34020,11
10927,46091,13
218,19859,6
57292,12456,7
46069,40459,1
35449,39663,2
22330,44903,4
7218,59858,17
35991,90,15
26981,41233,6
22088,5880,13
41069,6006,8
30451,9563,9
10953,25032,6
8514,49826,12
58098,37415,2
53332,23405,11
38673,34483,10
24034,47171,2
53844,31293,13
58294,47086,13
3171,9568,8
3942,9026,11
24875,674,10
52725,40268,11
34437,25604,12
6157,45716,11
49362,2010,3
24306,18459,7
58705,42403,9
48762,31647,8
40095,38237,10
33623,22315,4
225,27694,12
36277,5278,4
23379,336,10
58572,29020,8
25263,10894,14
27974,27569,9
30648,26222,9
29314,40466,10
13097,36595,3
18311,36457,9
59246,40295,15
21568,51854,6
55496,39759,11
4686,16411,3
